jobid,duration,status,remark,grade1,grade2,grade,type,stdout,pid,homework,list
7921,246,completed,,100,100,100,covtype,"15 {'test': 0.090499352424809332, 'train': 0.069317213660146287}
",A98008464,5,cleared
8153,167,completed,,100,100,100,covtype,"10 {'test': 0.12256151964311411, 'train': 0.11651243472047966}
",A53081142,5,cleared
8385,234,completed,,100,100,100,covtype,"30 {'test': 0.047863001870772776, 'train': 0.0088782602931102642} 212 seconds
",A09920117,5,cleared
8592,260,completed,,100,100,100,covtype,"14 {'test': 0.094822276586559215, 'train': 0.077029220181346322}
",A53089609,5,cleared
8638,168,completed,,100,100,100,covtype,"25 {'test': 0.047851489422938549, 'train': 0.017560098898319859}
",A53095241,5,cleared
8643,234,completed,,100,100,100,covtype,"15 {'test': 0.09307814073967477, 'train': 0.072361749822606666}
",A53102444,5,cleared
8672,167,completed,,100,100,100,covtype,"12 {'test': 0.11030651892358613, 'train': 0.099821501791120273} 166
",A53105080,5,cleared
8761,290,completed,,100,100,100,covtype,"14 {'test': 0.092370125197870204, 'train': 0.074009236729873529}
",A53097569,5,cleared
8762,195,completed,,100,100,100,covtype,"12 {'test': 0.11149230105051086, 'train': 0.10000564712352715}
",A53090004,5,cleared
8807,202,completed,,100,100,100,covtype,"13 {'test': 0.10071089365376314, 'train': 0.085684050804469572} 201 seconds
",A53091316,5,cleared
8860,247,completed,,100,100,100,covtype,"16 {'test': 0.084846258487782752, 'train': 0.062292430265173025}
",A53091625,5,cleared
8918,184,completed,,100,100,100,covtype,"15 {'test': 0.095985033817815507, 'train': 0.075926803458003816}
",A53104006,5,cleared
8927,211,completed,,100,100,100,covtype,"10 {'test': 0.12110519499208519, 'train': 0.11382882340953676}
",A53102766,5,cleared
8964,271,completed,,100,100,100,covtype,"15 {'test': 0.082682400345373441, 'train': 0.060252352763530387}
",A53104315,5,cleared
9047,211,completed,,100,100,100,covtype,"{10: {'test': 0.12063697328969353, 'train': 0.11369655973690948}}
",A53092101,5,cleared
9104,242,completed,,100,100,100,covtype,"10 {'test': 0.12136422506835516, 'train': 0.11336477717187143} 241 seconds
{10: {'test': 0.12136422506835516, 'train': 0.11336477717187143}}
",A53091034,5,cleared
9208,167,completed,,100,100,100,covtype,"10 {'test': 0.11002446395164772, 'train': 0.10055808312074778}
",A53103070,5,cleared
9255,357,time limit exceeded,Covtype cannot finish in time limit,90,100,95,covtype,,A53096298,5,cleared
9270,276,completed,,100,100,100,covtype,"15 {'test': 0.089474744567563672, 'train': 0.067925074947150291} 275 seconds
",A53093706,5,cleared
9278,126,completed,,100,100,100,covtype,"12 {'test': 0.12352856526118866, 'train': 0.11389266045810448}
",A10052401,5,cleared
9290,238,completed,,100,100,100,covtype,"15 {'test': 0.092421931213124184, 'train': 0.071328080690029383} 237 seconds
",A53078835,5,cleared
9322,242,completed,,100,100,100,covtype,"15 {'test': 0.095933227802561513, 'train': 0.07502080842256198} 238 seconds
",A53099589,5,cleared
9340,256,completed,,100,100,100,covtype,"10 {'test': 0.11114117139156714, 'train': 0.10352650587914665}
",A53102992,5,cleared
9378,84,completed,Fixed runtime error. Errors dictionary was not defined in covtype,96,100,98,covtype,"Traceback (most recent call last):
  File ""/root/store/runtime/9378.py"", line 34, in <module>
    errors[depth]={}
NameError: name 'errors' is not defined
",A53104909,5,cleared
9398,338,completed,,100,100,100,covtype,"15 {'test': 0.083683983306950635, 'train': 0.061087144937108234}
",A53107397,5,cleared
9403,155,completed,,100,100,100,covtype,"11 {'test': 0.12327529140883581, 'train': 0.11521359630923649}
",A53104152,5,cleared
9417,217,completed,,100,100,100,covtype,"{10: {'test': 0.11999379966012952, 'train': 0.1123914774794262}}
",A53090624,5,cleared
