jobid,pid,homework,grade,remarks,diff,duration,mismatch,output,status,list
78,A02866348,1,100,,"0.00683994528044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",24,0,"{1: [(14619, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
260,A04540481,1,100,,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",24,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
155,A08350601,1,100,,"0.00683994528044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",33,0,"{1: [(14619, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
157,A08653595,1,100,,"0.00683994528044,0.0297088532383,0.0,0.0,0.0212494687633,0.0,0.0,0.0,0.0,1.21065375303,0.862068965517,2.75229357798,12.5,0.0,1.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",26,0,"{1: [(14619, 'the'), (6730, 'of'), (6502, 'and'), (4799, 'a'), (4705, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (408, 'the whale')], 3: [(115, 'the sperm whale'), (106, 'of the whale'), (77, 'the white whale'), (64, 'one of the'), (59, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
913,A09134209,1,80,not converted to lower case,"5.6976744186,1.67855020796,7.2746847124,100,100,1.67890870934,4.94551550712,2.41286863271,2.7027027027,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",24,18,"{1: [(13787, 'the'), (6619, 'of'), (6029, 'and'), (4571, 'to'), (4539, 'a')], 2: [(1874, 'of the'), (1134, 'in the'), (728, 'to the'), (432, 'from the'), (370, 'of his')], 3: [(73, 'of the whale'), (61, 'one of the'), (60, 'the Sperm Whale'), (57, 'of the sea'), (53, 'out of the')], 4: [(25, 'of the Sperm Whale'), (20, 'at the same time'), (17, 'the bottom of the'), (13, 'Project Gutenberg Literary Archive'), (13, 'Gutenberg Literary Archive Foundation')], 5: [(13, 'Project Gutenberg Literary Archive Foundation'), (11, 'the Project Gutenberg Literary Archive'), (10, 'and at the same time'), (9, 'the bottom of the sea'), (7, 'the terms of this agreement')]}",completed,cleared
160,A09146619,1,100,ommited punctuations rather than replacing by space but full credit given,"0.772913816689,0.460487225193,1.04583205168,2.27130652219,1.01997450064,0.0,0.335289186924,0.402144772118,0.0,100,25.8620689655,28.4403669725,19.3181818182,0.0,100,27.9069767442,100,100,100,100,0.0,0.0,100,100,100",26,9,"{1: [(14507, 'the'), (6701, 'of'), (6434, 'and'), (4690, 'a'), (4658, 'to')], 2: [(1906, 'of the'), (1189, 'in the'), (743, 'to the'), (444, 'from the'), (371, 'of his')], 3: [(86, 'the sperm whale'), (78, 'of the whale'), (71, 'the white whale'), (64, 'one of the'), (57, 'out of the')], 4: [(31, 'of the sperm whale'), (20, 'at the same time'), (17, 'the bottom of the'), (13, 'gutenberg literary archive foundation'), (13, 'project gutenberg literary archive')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (10, 'and at the same time'), (9, 'the bottom of the sea'), (7, 'the terms of this agreement')]}",completed,cleared
357,A09771598,1,80,not converted to lower case,"5.6976744186,1.67855020796,7.2746847124,100,100,1.67890870934,4.94551550712,2.41286863271,2.7027027027,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",24,18,"{1: [(13787, 'the'), (6619, 'of'), (6029, 'and'), (4571, 'to'), (4539, 'a')], 2: [(1874, 'of the'), (1134, 'in the'), (728, 'to the'), (432, 'from the'), (370, 'of his')], 3: [(73, 'of the whale'), (61, 'one of the'), (60, 'the Sperm Whale'), (57, 'of the sea'), (53, 'out of the')], 4: [(25, 'of the Sperm Whale'), (20, 'at the same time'), (17, 'the bottom of the'), (13, 'Project Gutenberg Literary Archive'), (13, 'Gutenberg Literary Archive Foundation')], 5: [(13, 'Project Gutenberg Literary Archive Foundation'), (11, 'the Project Gutenberg Literary Archive'), (10, 'and at the same time'), (9, 'the bottom of the sea'), (7, 'the terms of this agreement')]}",completed,cleared
133,A53072604,1,100,,"0.00683994528044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0",18,2,"{1: [(14619, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
163,A53087566,1,100,,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",23,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
85,A53106952,1,100,,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",26,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,cleared
