duration,jobid,mismatch,output,status,pid,homework,list,grade,remarks,diff_1,diff_2,diff_3,diff_4,diff_5,diff_6,diff_7,diff_8,diff_9,diff_10,diff_11,diff_12,diff_13,diff_14,diff_15,diff_16,diff_17,diff_18,diff_19,diff_20,diff_21,diff_22,diff_23,diff_24,diff_25
13,579,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A09229555,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
14,769,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A10688717,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
16,338,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53046117,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
14,729,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53078835,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
16,858,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53081611,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
25,203,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53087000,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1090,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53087859,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1102,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53088113,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
25,630,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53088789,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,745,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53089251,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1098,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53089745,1,waitlist,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
25,500,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53090311,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,82,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53090833,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,959,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53091316,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
25,999,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53091543,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,181,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53091621,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,605,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53092101,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1048,0,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'the project gutenberg literary archive'), (13, 'project gutenberg literary archive foundation'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53092651,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,611,2,"{1: [(14620, 'the'), (6732, 'of'), (6502, 'and'), (4799, 'a'), (4706, 'to')], 2: [(1906, 'of the'), (1193, 'in the'), (746, 'to the'), (444, 'from the'), (413, 'the whale')], 3: [(116, 'the sperm whale'), (109, 'of the whale'), (88, 'the white whale'), (64, 'one of the'), (60, 'of the sea')], 4: [(43, 'of the sperm whale'), (27, 'the sperm whale s'), (20, 'at the same time'), (18, 'project gutenberg tm electronic'), (18, 'of the whale s')], 5: [(13, 'project gutenberg literary archive foundation'), (13, 'the project gutenberg literary archive'), (12, 'project gutenberg tm electronic works'), (11, 'of the sperm whale s'), (10, 'and at the same time')]}",completed,A53092819,1,cleared,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
