pid,lg,part 1 (out of 40),part 2 (out of 80),remark,homework,jobid,list,kmeans,grade
A09229555,29.0,20,50,"Linear Regression incorrect answers: part 1: 3, 5, 6,part 2: 5, 6, 7, 8, Breakup: 29.0 (Linear Regression) + 50(Kmeans)",4,6955,cleared,100,79.0
A09807450,27.0,25,40,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 3, 5, 6, 7, 8 Breakup: 27.0 (Linear Regression) + 50(Kmeans)",4,6608,cleared,100,77.0
A09920117,25.0,25,35,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 3, 4, 5, 6, 7 8, Breakup: 25.0 (Linear Regression) + 50(Kmeans)",4,6586,cleared,100,75.0
A10052401,27.0,25,40,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 4, 5, 6, 7  Breakup: 27.0 (Linear Regression) + 50(Kmeans)",4,6729,cleared,100,77.0
A10288913,29.0,25,45,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 7 8,  Breakup: 29.0 (Linear Regression) + 50(Kmeans)",4,7103,cleared,100,79.0
A10688717,31.0,25,50,"Linear Regression incorrect answers: part 1: 3, 5, part 2: 3, 5, 6, 8,  Breakup: 31.0 (Linear Regression) + 50(Kmeans)",4,6499,cleared,100,81.0
A10726357,31.0,25,50,"Linear Regression incorrect answers: part 1: 3, 4,part 2: 5, 6, 7, 8, Breakup: 31.0 (Linear Regression) + 35(Kmeans)",4,7106,cleared,70,66.0
A53043486,42.0,30,70,Linear Regression incorrect answers: part 1: 6part 2: 7 Breakup: 42.0 (Linear Regression) + 50(Kmeans),4,6566,cleared,100,92.0
A53044451,29.0,20,50,"Linear Regression incorrect answers: part 1: 3, 6part 2: 5, 6, 7 Breakup: 29.0 (Linear Regression) + 50(Kmeans)",4,7119,cleared,0,79
A53048537,33.0,30,50,"Linear Regression incorrect answers: part 1: 3, part 2: 5, 6, 7 Breakup: 33.0 (Linear Regression) + 50(Kmeans)",4,6995,cleared,100,83.0
A53053719,29.0,25,45,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 3, 7 Breakup: 29.0 (Linear Regression) + 50(Kmeans)",4,6841,cleared,100,79.0
A53068123,21.0,25,25,"Linear Regression incorrect answers: part 1: 3, 6part 2: 5, 6, 2, 3, 4, 7, 8 9,  Breakup: 21.0 (Linear Regression) + 50(Kmeans)",4,7034,cleared,100,71.0
A53071065,25.0,30,30,"Linear Regression incorrect answers: part 1: 3, part 2: 2, 3, 5, 6, 8  Breakup: 25.0 (Linear Regression) + 50(Kmeans)",4,6786,cleared,100,75.0
A53078835,27.0,25,40,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 7 8 Breakup: 27.0 (Linear Regression) + 50(Kmeans)",4,6830,cleared,100,77.0
A53081142,25.0,25,35,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 3, 4 7 Breakup: 30.0 (Linear Regression) + 50(Kmeans)",4,6633,cleared,100,80.0
A53087000,31.0,25,50,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 7  Breakup: 31.0 (Linear Regression) + 50(Kmeans)",4,6922,cleared,100,81.0
A53087777,38.0,20,70,"Linear Regression incorrect answers: part 1: 3, 6part 2: 8 Breakup: 38.0 (Linear Regression) + 50(Kmeans)",4,6764,cleared,100,88.0
A53087859,31.0,25,50,"Linear Regression incorrect answers: part 1: 3, 6,part 2: 5, 6, 7 Breakup: 31.0 (Linear Regression) + 50(Kmeans)",4,7105,cleared,100,81.0
