[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/yoavfreund/projects/edX-Micro-Master-in-Data-Science/probability-and-statistics-using-python/notebooks/rohit
[NotebookApp | INFO] 0 active kernels 
[NotebookApp | INFO] The Jupyter Notebook is running at: http://localhost:8889/?token=da093f6e5207cef1e29e7e03ecb347b8d13dcf71d7078a60
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8889/?token=da093f6e5207cef1e29e7e03ecb347b8d13dcf71d7078a60
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from ::1
[NotebookApp | WARNING] 404 GET /static/custom/dc.css (::1) 17.89ms referer=http://localhost:8889/tree?token=9025eac08b0269cd36e5b29e63b571fdca1df727236ccd83
[NotebookApp | WARNING] 404 GET /static/custom/jquery.handsontable.full.js?v=20170913063608 (::1) 2.36ms referer=http://localhost:8889/tree
[NotebookApp | WARNING] 404 GET /static/custom/d3.js?v=20170913063608 (::1) 2.42ms referer=http://localhost:8889/tree
[NotebookApp | WARNING] 404 GET /static/custom/dc.js?v=20170913063608 (::1) 2.06ms referer=http://localhost:8889/tree
[NotebookApp | WARNING] 404 GET /static/custom/crossfilter.js?v=20170913063608 (::1) 2.47ms referer=http://localhost:8889/tree
[NotebookApp | WARNING] 404 GET /clusters?_=1505309771282 (::1) 1.73ms referer=http://localhost:8889/tree
[NotebookApp | WARNING] 404 GET /static/custom/dc.css (::1) 2.51ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /static/custom/jquery.handsontable.full.js?v=20170913063608 (::1) 1.76ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /static/custom/d3.js?v=20170913063608 (::1) 1.82ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /static/custom/crossfilter.js?v=20170913063608 (::1) 1.62ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /static/custom/dc.js?v=20170913063608 (::1) 1.96ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /clusters?_=1505309777145 (::1) 1.37ms referer=http://localhost:8889/tree/permutations_combinations
[NotebookApp | WARNING] 404 GET /static/custom/dc.css (::1) 1.90ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] Notebook permutations_combinations/permutations_combinations.ipynb is not trusted
[NotebookApp | WARNING] 404 GET /nbextensions/nbpresent/js/nbpresent.min.js?v=20170913063608 (::1) 1.76ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /nbextensions/nb_anacondacloud/main.js?v=20170913063608 (::1) 2.21ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /nbextensions/nb_conda/main.js?v=20170913063608 (::1) 2.08ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | INFO] Kernel started: d5e01649-9f52-462d-bd2d-fc7898792b89
[NotebookApp | WARNING] 404 GET /nbextensions/widgets/notebook/js/extension.js?v=20170913063608 (::1) 3.29ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /static/custom/jquery.handsontable.full.js?v=20170913063608 (::1) 2.34ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /static/custom/d3.js?v=20170913063608 (::1) 2.32ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /static/custom/dc.js?v=20170913063608 (::1) 2.10ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | WARNING] 404 GET /static/custom/crossfilter.js?v=20170913063608 (::1) 2.21ms referer=http://localhost:8889/notebooks/permutations_combinations/permutations_combinations.ipynb
[NotebookApp | INFO] Saving file at /permutations_combinations/permutations_combinations.ipynb
[NotebookApp | INFO] interrupted
[NotebookApp | CRITICAL] received signal 2, stopping
[NotebookApp | INFO] Shutting down kernels
[NotebookApp | INFO] Kernel shutdown: d5e01649-9f52-462d-bd2d-fc7898792b89
