jobid,pid,homework,grade,remarks
579,A09229555,1,100,
769,A10688717,1,100,
338,A53046117,1,100,
729,A53078835,1,100,
858,A53081611,1,100,
203,A53087000,1,100,
1090,A53087859,1,100,
1102,A53088113,1,100,
630,A53088789,1,100,
745,A53089251,1,100,
1098,A53089745,1,100,
500,A53090311,1,100,
82,A53090833,1,100,
959,A53091316,1,100,
999,A53091543,1,100,
181,A53091621,1,100,
605,A53092101,1,100,
1048,A53092651,1,100,
611,A53092819,1,100,
908,A53093242,1,100,
158,A53093706,1,100,
711,A53094332,1,100,
982,A53094656,1,100,
814,A53095241,1,100,
947,A53095391,1,100,
895,A53095668,1,100,
1066,A53095928,1,100,
848,A53096102,1,100,
1135,A53096254,1,100,
692,A53096298,1,100,
714,A53096365,1,100,
926,A53097552,1,100,
886,A53097652,1,100,
997,A53099070,1,100,
607,A53099113,1,100,
907,A53099540,1,100,
419,A53100056,1,100,
275,A53100492,1,100,
815,A53101232,1,100,
857,A53102223,1,100,
1132,A53102323,1,100,
194,A53102471,1,100,
789,A53102693,1,100,
842,A53102766,1,100,
1078,A53103247,1,100,
827,A53103630,1,100,
1112,A53103920,1,100,
1094,A53104557,1,100,
949,A53104678,1,100,
663,A53105054,1,100,
810,A53105080,1,100,
1026,A53105538,1,100,
972,A53105684,1,100,
738,A53107397,1,100,
911,A97010449,1,100,
674,A98008464,1,100,
379,U06990406,1,100,
493,A09920117,1,100,
751,A10288913,1,100,
993,A10726357,1,100,
945,A53048537,1,100,
1004,A53053719,1,100,
532,A53071065,1,100,
442,A53081142,1,100,
687,A53089609,1,100,
806,A53089999,1,100,
626,A53090004,1,100,
508,A53090014,1,100,
787,A53091034,1,100,
635,A53091187,1,100,
348,A53093387,1,100,
99,A53093655,1,100,
899,A53095669,1,100,
728,A53096505,1,100,
1010,A53096555,1,100,
1071,A53097095,1,100,
393,A53097553,1,100,
932,A53097569,1,100,
1053,A53097623,1,100,
893,A53097687,1,100,
984,A53097966,1,100,
879,A53097969,1,100,
609,A53098336,1,100,
697,A53099348,1,100,
1106,A53099813,1,100,
685,A53100198,1,100,
1070,A53100317,1,100,
929,A53101273,1,100,
849,A53101356,1,100,
1055,A53101820,1,100,
726,A53101879,1,100,
960,A53102476,1,100,
435,A53102894,1,100,
1129,A53102945,1,100,
193,A53102992,1,100,
514,A53103006,1,100,
468,A53103979,1,100,
733,A53104006,1,100,
625,A53104152,1,100,
248,A53104315,1,100,
563,A53104332,1,100,
207,A53104364,1,100,
1050,A53104872,1,100,
617,A53104951,1,100,
839,A53106567,1,100,
1122,A53095324,1,100,
1080,A09807450,1,100,
765,A53102484,1,100,
577,A53043486,1,100,
718,A53070548,1,100,
251,A53092295,1,100,
979,A53099577,1,100,
447,A53103070,1,100,
490,A53100674,1,100,
279,A53092720,1,100,
506,A10052401,1,80,Not converted to lowercase
463,A53093725,1,80,Not converted to lowercase
1036,A53068123,1,80,Not converted to lowercase
1082,A53095373,1,90,"Used split("" "") instead of split()"
572,A53020603,1,100,
1088,A53096479,1,100,
1015,A53104614,1,100,
915,A53105202,1,100,
922,A53090624,1,100,print sentences.take(10) should not have been there. Still giving full credit
1123,A53102444,1,100,Indentation issue in code. Still giving full credit
974,A53103612,1,100,
757,A53099589,1,100,Fetched from playground. Please be careful from next time
